Type,Name,Priority,Content,TTL
TXT,resend._domainkey.my,0,"""p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDJt5zdc+Atz72/7MYehG1gz/pImDyocrmywLLq+fibuO1wSpnzoUt9ooz8Q8BClxRNeWfgftUJUtV7w7P7+K7i6w+FcQvQuSz+z//Dl+UCdzuJXXR0+GvOasy/ZMe60I7VjtKRflu0SkTI9QXHR+seG5WZ2qM/vP7oIAAHmffwvwIDAQAB""",14400
TXT,send.my,0,"""v=spf1 include:amazonses.com ~all""",3600
MX,send.my,10,feedback-smtp.us-east-1.amazonses.com,3600
MX,my,10,inbound-smtp.us-east-1.amazonaws.com,3600
A,my,0,85.31.224.66,14400
CNAME,hostingermail-c._domainkey,0,hostingermail-c.dkim.mail.hostinger.com,300
CNAME,hostingermail-b._domainkey,0,hostingermail-b.dkim.mail.hostinger.com,300
CNAME,hostingermail-a._domainkey,0,hostingermail-a.dkim.mail.hostinger.com,300
CNAME,s2._domainkey,0,s2.domainkey.u51668717.wl218.sendgrid.net,14400
CNAME,s1._domainkey,0,s1.domainkey.u51668717.wl218.sendgrid.net,14400
CNAME,www,0,michaeljgauthier.com,300
A,blueprint,0,85.31.224.66,14400
A,agent,0,85.31.224.66,14400
CNAME,autodiscover,0,autodiscover.mail.hostinger.com,300
A,ftp,0,77.37.56.57,1800
A,ai,0,85.31.224.66,14400
CNAME,autoconfig,0,autoconfig.mail.hostinger.com,300
TXT,_dmarc,0,"""v=DMARC1; p=none""",14400
CNAME,url3518,0,sendgrid.net,14400
CNAME,51668717,0,sendgrid.net,14400
CNAME,em470,0,u51668717.wl218.sendgrid.net,14400
A,@,0,85.31.224.66,300
TXT,@,0,"""v=spf1 include:_spf.mail.hostinger.com ~all""",3600
MX,@,5,mx1.hostinger.com,14400
MX,@,10,mx2.hostinger.com,14400
